id,slug,title,summary,is_public,sort_order,published_at,updated_at,thumb_url,primary_link_url,primary_link_type,domain_key,detail_enabled
96a47ea2-dc1e-4c47-a0dc-836eef3d5c94,25centride-up-2022,25centrid 고도화,기존 앱 기능을 점검하고 사용 흐름을 개선해 서비스 완성도를 높인 고도화 프로젝트,TRUE,11,2022-01-01,2022-01-01,,/work/25centride-up-2022,detail,app_mobile,N
bb95f1cc-b7a7-4d17-a2c6-c9bd7e19f228,k2-survey-platform-2022,K2 사용자 평가 온라인 설문조사 플랫폼 고도화,사용자 평가 수집 효율을 높이기 위해 설문조사 플랫폼 화면과 구조를 개선한 프로젝트,TRUE,12,2022-01-01,2022-01-01,,/work/k2-survey-platform-2022,detail,app_mobile,N
3af7b008-cbec-45c8-92d0-5f25a8d5ac50,cj-pressway-partial-renewal-2022,CJ 프레스웨이 회사 홈페이지 부분 리뉴얼,기존 홈페이지의 일부 영역을 개선해 정보 전달력과 사용성을 강화한 프로젝트,TRUE,13,2022-01-01,2022-01-01,,/work/cj-pressway-partial-renewal-2022,detail,enterprise_web,N
55d80e20-13f1-48b9-8a10-aae3493b6fec,sungsungs-app-2022,송송 앱 구축,서비스 목적에 맞춘 모바일 앱 화면을 설계하고 사용자 흐름을 정리한 구축 프로젝트,TRUE,14,2022-01-01,2022-01-01,,/work/sungsungs-app-2022,detail,app_mobile,N
1b4a5337-af8e-44dd-a710-ac58124d7eff,class-app-2022,클래스 앱 구축,학습 관리 기능을 중심으로 앱 구조와 화면을 기획·설계한 모바일 앱 구축 프로젝트,TRUE,15,2022-01-01,2022-01-01,,/work/class-app-2022,detail,app_mobile,N
97914341-9e33-4563-a652-8da39d11f310,deokhu-app-2022,덕킹 앱 구축,콘텐츠 이용 흐름을 고려해 전반적인 앱 기획과 화면 설계를 진행한 프로젝트,TRUE,16,2022-01-01,2022-01-01,,/work/deokhu-app-2022,detail,app_mobile,N
86c8db82-11e3-48f7-bb28-3ef2bbbc92a7,realseller-app-2021,리얼셀러 앱 구축,판매 관리 기능을 중심으로 사용자 편의성을 고려한 앱 화면과 구조를 설계한 프로젝트,TRUE,17,2021-01-01,2021-01-01,,/work/realseller-app-2021,detail,app_mobile,N
17f92d62-9d25-4fe7-9dee-5ba3d58c8227,heungkuklife-event-2021,흥국생명 송금식 이벤트 페이지 구축,이벤트 참여를 유도하기 위한 페이지 구조와 사용자 흐름을 기획한 캠페인 프로젝트,TRUE,19,2021-01-01,2021-01-01,,/work/heungkuklife-event-2021,detail,finance_insurance,N
6ccf0ef6-f4d9-45b6-b8a6-c215e1c6f6d8,ivillage-app-2021,아이발달 앱 구축,아이 발달 관리 목적에 맞춰 전반적인 앱 구조와 화면을 기획한 모바일 서비스 프로젝트,TRUE,20,2021-01-01,2021-01-01,,/work/ivillage-app-2021,detail,app_mobile,N
5e65f2cb-eaa8-45ce-bec7-15bf9c23b056,seoul-scholarship-ops-2021,서울장학재단 홈페이지 운영,장학재단 정보 제공을 위해 홈페이지 운영과 콘텐츠 관리를 지속적으로 수행한 프로젝트,TRUE,22,2021-01-01,2021-01-01,,/work/seoul-scholarship-ops-2021,detail,operation_maintenance,N
b6e7479a-e1cc-4b41-8ae3-bba56aa229e7,holandz-ops-2021,홈앤톤즈 홈페이지 운영,서비스 정보의 최신성을 유지하기 위해 홈페이지 운영 전반을 관리한 프로젝트,TRUE,23,2021-01-01,2021-01-01,,/work/holandz-ops-2021,detail,operation_maintenance,N
575434af-efe7-45b2-8c0d-f2c47cdb107a,laonak-kevin-app-2021,라오나크 Kevin 앱 구축,특정 업무 목적에 맞춘 모바일 앱 화면을 설계한 구축 프로젝트,TRUE,24,2021-01-01,2021-01-01,,/work/laonak-kevin-app-2021,detail,app_mobile,N
